label,uri
1-benzoylpiperidines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004110
1-benzylquinolines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004083
"1-bromo,2-chlorobenzenes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003603
1-carboxy-2-haloaromatic compounds,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003072
1-hydroxy-2-unsubstituted benzenoids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004646
1-hydroxy-4-unsubstituted benzenoids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004647
"1-hydroxylamino, 2-unsubstituted benzenoids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004648
"1-hydroxylamino, 4-unsubstituted benzenoids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004649
1-hydroxynaphthalene-2-carboxanilides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004688
1-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004158
1-monoacylglycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001597
1-naphthalene sulfonamides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003595
1-naphthalene sulfonates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003600
1-naphthalene sulfonic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003598
1-phenethylisoquinolines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004095
1-phenethyltetrahydroisoquinolines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002189
1-phenylcoumarans,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004190
1-phenyltetrahydroisoquinolines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002956
"1-phosphatidyl-1D-myo-inositol-3,4,5-trisphosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004264
"1-phosphatidyl-1D-myo-inositol-3,4-bisphosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004265
"1-phosphatidyl-1D-myo-inositol-3,5-bisphosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004266
1-phosphatidyl-1D-myo-inositol-3-phosphates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004263
"1-phosphatidyl-1D-myo-inositol-4,5-bisphosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004250
1-phosphatidyl-1D-myo-inositols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004251
1-phosphatidyl-1d-myo-inositol-4-phosphates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004307
1-phosphoribosyl-imidazolecarboxamides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001417
1-phosphoribosyl-imidazoles,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001412
1-pyranosylbenzimidazoles,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003708
1-pyranosylbenzotriazoles,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003710
1-pyranosylindazoles,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003713
1-pyranosylindoles,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003715
1-ribosyl-imidazolecarboxamides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001420
"1-sulfamoyl-1,2,3-triazoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004202
"1-sulfo,2-unsubstituted aromatic compounds",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003075
"10,11-secoergolines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002164
11-alpha-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003234
11-beta-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003227
11-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003228
11-oxosteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003059
"12,13-diacylphorbols and derivatives",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003753
12-alpha-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003242
12-beta-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003243
12-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003241
12-oxophytodienoic acid metabolites,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000511
"13,28-epoxyoleananes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004550
14-alpha-methylsteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004192
14-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004495
16-alpha-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003230
16-beta-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003231
16-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003229
16-oxosteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003060
17-azasteroids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003253
17-beta-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003237
17-carboxy steroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003369
17-furanylsteroids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002381
17-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003236
17-oxosteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003558
18-hydroxysteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004159
19-oxosteroids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003557
1Z-alkenylacylglycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003824
1Z-alkenyldiacylglycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003816
1Z-alkenylglycero-3-phosphates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001254
1Z-alkenylglycero-3-phosphoserines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003838
1Z-alkenylglycerophosphocholines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003823
"2',3'-cyclic purine nucleoside phosphorothioates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003803
"2',3'-cyclic purine nucleotides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001494
